AVIBASEID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
00124D98,12303.0,7115.0,5005.0,7304.0,5208.0,5232.0,5385.0,5565.0,4617.0,4705.0,5280.0,4860.0,5283.0,5560.0,5242.0,5760.0,6214.0,7685.0,6725.0,5258.0,6327.0,6582.0,4559.0,4325.0,3682.0,4005.0,4252.0,3829.0,4495.0,3834.0,4328.0,4764.0,5317.0,5931.0,6074.0,7022.0,6353.0,6482.0,6148.0,5050.0,5096.0,4404.0,3317.0,3979.0,4344.0,5118.0,5964.0,4697.0,5791.0,8623.0,8274.0,7495.0
01060BFD,26806.0,15320.0,10713.0,41901.0,7249.0,19332.0,20811.0,19882.0,9458.0,4693.0,10222.0,5761.0,6613.0,14387.0,6552.0,102007.0,95607.0,37539.0,2350.0,360.0,78.0,57.0,2.0,12.0,35.0,1337.0,28429.0,54990.0,155739.0,51634.0,77657.0,132853.0,126745.0,295358.0,186426.0,189782.0,43956.0,72962.0,35289.0,46305.0,33436.0,33401.0,15105.0,44847.0,22302.0,42658.0,18974.0,33558.0,20252.0,45748.0,19247.0,19091.0
018B3169,1332.0,1111.0,651.0,1206.0,750.0,1078.0,961.0,873.0,724.0,531.0,532.0,440.0,264.0,558.0,331.0,216.0,55.0,28.0,21.0,7.0,25.0,5.0,2.0,2.0,17.0,4.0,4.0,3.0,0.0,4.0,2.0,5.0,11.0,6.0,12.0,8.0,7.0,16.0,24.0,47.0,105.0,167.0,109.0,498.0,637.0,547.0,565.0,629.0,595.0,1026.0,491.0,876.0
03AC32BA,4951.0,3725.0,2535.0,4202.0,8357.0,5373.0,2639.0,7386.0,3290.0,2627.0,1522.0,1325.0,1284.0,390.0,389.0,883.0,291.0,185.0,108.0,80.0,65.0,66.0,72.0,53.0,34.0,26.0,131.0,61.0,50.0,84.0,34.0,57.0,31.0,42.0,50.0,37.0,109.0,111.0,113.0,214.0,423.0,714.0,1010.0,2088.0,2500.0,3098.0,3995.0,3217.0,4013.0,6318.0,6775.0,10092.0
0413ED30,2635.0,1653.0,1421.0,1452.0,1596.0,1245.0,1314.0,1953.0,1009.0,1529.0,971.0,1610.0,1136.0,1279.0,838.0,1459.0,325.0,113.0,9.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,26.0,228.0,563.0,1276.0,1146.0,1988.0,3812.0,3133.0,4444.0,5449.0,4444.0,3812.0,3239.0,3860.0,4789.0,3771.0,4083.0,3402.0,4915.0,3602.0,4038.0,2733.0,3693.0,2368.0,3838.0
06B9BD24,9635.0,9352.0,5122.0,7583.0,5420.0,4131.0,5789.0,6229.0,2491.0,3362.0,6691.0,6097.0,4750.0,6755.0,8612.0,3406.0,5920.0,4642.0,5677.0,2517.0,970.0,368.0,9.0,21.0,0.0,8.0,18.0,107.0,700.0,2504.0,3881.0,4387.0,5618.0,5267.0,8973.0,8128.0,11379.0,9775.0,11281.0,4731.0,4392.0,6749.0,9792.0,4663.0,8394.0,14565.0,12340.0,13896.0,10891.0,31389.0,4525.0,5465.0
0716A71C,359.0,140.0,108.0,373.0,146.0,108.0,114.0,223.0,101.0,118.0,246.0,227.0,246.0,168.0,312.0,491.0,603.0,678.0,729.0,471.0,576.0,861.0,1050.0,1676.0,1271.0,1110.0,1312.0,963.0,768.0,1175.0,1114.0,1140.0,1324.0,1652.0,1852.0,2827.0,3541.0,3360.0,4190.0,3963.0,3639.0,2454.0,2482.0,2185.0,1722.0,1667.0,1099.0,631.0,631.0,1237.0,672.0,912.0
0783A7EA,17504.0,13087.0,10668.0,9490.0,4969.0,6115.0,4116.0,5506.0,4226.0,5065.0,5545.0,2695.0,3672.0,3024.0,3276.0,1181.0,1184.0,215.0,344.0,93.0,65.0,244.0,82.0,109.0,62.0,66.0,133.0,58.0,298.0,26.0,18.0,14.0,84.0,44.0,33.0,16.0,91.0,130.0,617.0,814.0,1961.0,3803.0,3884.0,3182.0,4854.0,8851.0,9051.0,7741.0,5911.0,7988.0,8349.0,6519.0
0ADA5F17,9.0,1.0,3.0,9.0,20.0,4.0,7.0,4.0,8.0,18.0,5.0,5.0,34.0,25.0,56.0,382.0,1291.0,2202.0,2843.0,1566.0,1993.0,2239.0,1188.0,1713.0,1018.0,1082.0,978.0,855.0,594.0,666.0,859.0,809.0,832.0,844.0,1459.0,1565.0,1398.0,1286.0,919.0,610.0,190.0,55.0,18.0,24.0,14.0,5.0,6.0,13.0,5.0,50.0,30.0,10.0
0B1B2EB6,6.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
