,AVIBASEID,MONTH,OBSERVATION COUNT,normalized_observation_count,fractional_norm_count
0,00124D98,01,29377,5275.969920430512,0.10747778205613007
1,00124D98,02,20104,5643.94934196299,0.11497396051527134
2,00124D98,03,22983,3893.283554098094,0.07931081632776371
3,00124D98,04,23999,2796.5412680878644,0.05696887159242851
4,00124D98,05,29068,2440.8072288466074,0.0497221461341456
5,00124D98,06,18857,823.534444633495,0.016776376076991065
6,00124D98,07,18120,1219.141478731423,0.024835361861955438
7,00124D98,08,23805,4519.410012669505,0.09206575694888527
8,00124D98,09,27455,8847.052779256583,0.1802249870238892
9,00124D98,10,19392,6151.509324013584,0.1253135609970716
10,00124D98,11,21694,3126.534935793967,0.06369123506919479
11,00124D98,12,35913,4351.20129888028,0.08863914539627334
12,01060BFD,01,98231,17641.821876087062,0.039674740084197975
13,01060BFD,02,64633,18144.91533123229,0.04080614829198649
14,01060BFD,03,34609,5862.709416689768,0.013184662782001583
15,01060BFD,04,241299,28117.947058141322,0.06323452583687625
16,01060BFD,05,17633,1480.6231548868939,0.003329777346431973
17,01060BFD,06,1391,60.74860330302761,0.00013661769535223576
18,01060BFD,07,306400,20615.063415193596,0.04636127088017472
19,01060BFD,08,711751,135126.84712991107,0.3038871254869208
20,01060BFD,09,434312,139951.96454796888,0.3147383448667438
21,01060BFD,10,133337,42297.01932425739,0.09512187912410874
22,01060BFD,11,156346,22532.554211839382,0.05067352102673594
23,01060BFD,12,105886,12829.095334091759,0.028851386578469477
24,018B3169,01,4380,786.6272339410301,0.23751888450743056
25,018B3169,02,3593,1008.6903096733497,0.3045699243932218
26,018B3169,03,2264,383.5179901004257,0.11580169267825494
27,018B3169,04,1175,136.91970457115883,0.041342346277406586
28,018B3169,05,70,5.877821178590289,0.0017747841282820054
29,018B3169,06,26,1.1354879122061234,0.0003428559432498467
30,018B3169,07,12,0.8073784627360416,0.0002437846333944302
31,018B3169,08,31,5.885390060607211,0.001777069521332308
32,018B3169,09,59,19.01206024316658,0.005740614037122847
33,018B3169,10,583,184.9386311829579,0.05584146529078885
34,018B3169,11,2638,380.188031742624,0.11479622533556114
35,018B3169,12,3287,398.2512925519862,0.12025035325395472
36,03AC32BA,01,16642,2988.824298458133,0.16793604018303868
37,03AC32BA,02,22775,6393.7995554719,0.359254767710483
38,03AC32BA,03,8574,1452.4219289403932,0.08160867386787846
39,03AC32BA,04,2014,234.6862000053735,0.013186546674837646
40,03AC32BA,05,421,35.35089594552159,0.0019862959107620135
41,03AC32BA,06,207,9.04023068564106,0.0005079524227874322
42,03AC32BA,07,335,22.539315418047828,0.0012664389076655137
43,03AC32BA,08,179,33.9833813176997,0.0019094580077754564
44,03AC32BA,09,403,129.86203861010392,0.0072966873782203436
45,03AC32BA,10,3324,1054.4356947721305,0.059246625938846
46,03AC32BA,11,13555,1953.543885622164,0.10976571110065499
47,03AC32BA,12,28796,3488.90910262458,0.19603480189705044
48,0413ED30,01,6406,1150.4872284534792,0.05166109571843884
49,0413ED30,02,6010,1687.2331648029033,0.07576295665913325
50,0413ED30,03,5974,1011.9860745847807,0.045441885986972984
51,0413ED30,04,3908,455.38911103326694,0.020448641125593914
52,0413ED30,05,134,11.25182911330141,0.0005052483908153922
53,0413ED30,07,1227,82.55444781476025,0.0037069974573069727
54,0413ED30,08,10371,1968.9477522115285,0.0884129747605606
55,0413ED30,09,19162,6174.730481009457,0.2772680430740568
56,0413ED30,10,17245,5470.440299742897,0.24564283110462234
57,0413ED30,11,17696,2550.343976390248,0.11451979736997843
58,0413ED30,12,14085,1706.5316262837619,0.07662952835252042
59,06B9BD24,01,32476,5832.535627732624,0.09602059462178057
60,06B9BD24,02,19952,5601.277221987941,0.09221340491079003
61,06B9BD24,03,22239,3767.2511403901804,0.06201997170319364
62,06B9BD24,04,25760,3001.746033832384,0.049417518806345484
63,06B9BD24,05,13096,1099.6563736402632,0.01810356003219419
64,06B9BD24,06,49,2.1399579883884634,3.5229967140478364e-05
65,06B9BD24,07,4262,286.7539173484174,0.00472080813754477
66,06B9BD24,08,25981,4932.526424665676,0.08120381091751053
67,06B9BD24,09,42075,13558.17685985142,0.22320724418382917
68,06B9BD24,10,27278,8653.097738265396,0.14245529614906574
69,06B9BD24,11,49667,7157.99809422324,0.11784158334855792
70,06B9BD24,12,56532,6849.3891300726755,0.11276097722204746
71,0716A71C,01,860,154.45192264595568,0.011988577089074652
72,0716A71C,02,531,149.07168228125485,0.011570962175223297
73,0716A71C,03,893,151.2727761306008,0.011741811348487782
74,0716A71C,04,1703,198.44617607207104,0.015403416410202916
75,0716A71C,05,2809,235.8685670094303,0.018308146962754363
76,0716A71C,06,5484,239.5006042514762,0.018590066136829453
77,0716A71C,07,4749,319.52002662778847,0.02480118346931262
78,0716A71C,08,6215,1179.925781505607,0.09158598318903495
79,0716A71C,09,14695,4735.291953785303,0.36755393946995674
80,0716A71C,10,13168,4177.138757147838,0.3242300202155472
81,0716A71C,11,6188,891.8133208579823,0.06922265882489191
82,0716A71C,12,3722,450.9556771762983,0.03500323470868415
83,0783A7EA,01,51885,9318.300007541175,0.29367491105294974
84,0783A7EA,02,19679,5524.635848611702,0.1741140487136017
85,0783A7EA,03,19363,3280.061326110664,0.10337419029374531
86,0783A7EA,04,8714,1015.419834581343,0.032001902638973304
87,0783A7EA,05,824,69.19035215940569,0.002180598446035378
88,0783A7EA,06,407,17.774753087226625,0.000560187912779686
89,0783A7EA,07,521,35.05368159045647,0.0011047494515978899
90,0783A7EA,08,165,31.325463225812577,0.0009872511744725887
91,0783A7EA,09,915,294.8480529236851,0.009292411238790653
92,0783A7EA,10,12147,3853.258238386603,0.12143902530573587
93,0783A7EA,11,31504,4540.350171349366,0.14309336806511683
94,0783A7EA,12,30949,3749.765516638704,0.11817735570620108
95,0ADA5F17,01,36,6.465429320063261,0.0014609899574589298
96,0ADA5F17,02,21,5.895490259710644,0.0013322011017900838
97,0ADA5F17,03,68,11.519091575454484,0.002602963589527586
98,0ADA5F17,04,2082,242.61006375927886,0.054822479557677536
99,0ADA5F17,05,9728,816.8492060760905,0.18458302268221088
100,0ADA5F17,06,5788,252.77707830188626,0.057119914949631215
101,0ADA5F17,07,3434,231.04480341963057,0.052209083234684574
102,0ADA5F17,08,4118,781.8076215993708,0.1766646926720028
103,0ADA5F17,09,5618,1810.3348211205057,0.40908048984276707
104,0ADA5F17,10,779,247.11353977962986,0.05584012787052392
105,0ADA5F17,11,50,7.205989987540258,0.0016283340957229592
106,0ADA5F17,12,97,11.752471973697189,0.0026557004460024194
107,0B1B2EB6,01,13,2.3347383655783998,0.3072192565357612
108,0B1B2EB6,02,2,0.5614752628295852,0.0738823738680427
109,0B1B2EB6,03,1,0.16939840552138946,0.02229048572204014
110,0B1B2EB6,04,1,0.11652740814566709,0.015333394192835914
111,0B1B2EB6,09,1,0.3222383092062132,0.04240210176918397
112,0B1B2EB6,10,11,3.4894081355275075,0.4591578178315585
113,0B1B2EB6,12,5,0.6057975244173809,0.07971457008057754
114,0D88C072,01,1247,223.95528783663573,0.09002087891744369
115,0D88C072,02,865,242.83805117379555,0.09761097856823274
116,0D88C072,03,958,162.2836724894911,0.06523140834303964
117,0D88C072,04,935,108.95312661619873,0.04379470703075441
118,0D88C072,05,1625,136.44942021727456,0.054847094053410886
119,0D88C072,06,1061,46.336641340411425,0.01862543733546012
