,AVIBASEID,WEEK,OBSERVATION COUNT,normalized_observation_count,fractional_norm_count
0,00124D98,1,12303,12303.0,0.04231222937953757
1,00124D98,2,7115,7115.0,0.024469764450573826
2,00124D98,3,5005,5005.0,0.01721309502109937
3,00124D98,4,7304,7304.0,0.025119769437384573
4,00124D98,5,5208,5208.0,0.01791124852545165
5,00124D98,6,5232,5232.0,0.017993788841237143
6,00124D98,7,5385,5385.0,0.01851998335436965
7,00124D98,8,5565,5565.0,0.019139035722760836
8,00124D98,9,4617,4617.0,0.01587869324923392
9,00124D98,10,4705,4705.0,0.016181341073780726
10,00124D98,11,5280,5280.0,0.018158869472808124
11,00124D98,12,4860,4860.0,0.016714413946562024
12,00124D98,13,5283,5283.0,0.01816918701228131
13,00124D98,14,5560,5560.0,0.01912183982363886
14,00124D98,15,5242,5242.0,0.018028180639481098
15,00124D98,16,5760,5760.0,0.019809675788517955
16,00124D98,17,6214,6214.0,0.0213710634287935
17,00124D98,18,7685,7685.0,0.02643009695047925
18,00124D98,19,6725,6725.0,0.02312848431905959
19,00124D98,20,5258,5258.0,0.018083207516671425
20,00124D98,21,6327,6327.0,0.02175969074895019
21,00124D98,22,6582,6582.0,0.02263668160417104
22,00124D98,23,4559,4559.0,0.015679220819418985
23,00124D98,24,4325,4325.0,0.014874452740510443
24,00124D98,25,3682,3682.0,0.01266306011342415
25,00124D98,26,4005,4005.0,0.01377391519670389
26,00124D98,27,4252,4252.0,0.014623392613329574
27,00124D98,28,3829,3829.0,0.013168619547610286
28,00124D98,29,4495,4495.0,0.015459113310657675
29,00124D98,30,3834,3834.0,0.013185815446732264
30,00124D98,31,4328,4328.0,0.01488477027998363
31,00124D98,32,4764,4764.0,0.01638425268342006
32,00124D98,33,5317,5317.0,0.018286119126310757
33,00124D98,34,5931,5931.0,0.020397775538489583
34,00124D98,35,6074,6074.0,0.020889578253378133
35,00124D98,36,7022,7022.0,0.02414992072690505
36,00124D98,37,6353,6353.0,0.021849109424384474
37,00124D98,38,6482,6482.0,0.02229276362173149
38,00124D98,39,6148,6148.0,0.0211440775603834
39,00124D98,40,5050,5050.0,0.017367858113197163
40,00124D98,41,5096,5096.0,0.017526060385119356
41,00124D98,42,4404,4404.0,0.015146147946637685
42,00124D98,43,3317,3317.0,0.011407759477519801
43,00124D98,44,3979,3979.0,0.013684496521269608
44,00124D98,45,4344,4344.0,0.014939797157173957
45,00124D98,46,5118,5118.0,0.01760172234125606
46,00124D98,47,5964,5964.0,0.020511268472694633
47,00124D98,48,4697,4697.0,0.01615382763518556
48,00124D98,49,5791,5791.0,0.019916290363074213
49,00124D98,50,8623,8623.0,0.029656047625762207
50,00124D98,51,8274,8274.0,0.028455773867048187
51,00124D98,52,7495,7495.0,0.02577665278384411
52,01060BFD,1,26806,26806.0,0.011625325045927103
53,01060BFD,2,15320,15320.0,0.006644034160397046
54,01060BFD,3,10713,10713.0,0.0046460533916666815
55,01060BFD,4,41901,41901.0,0.018171780375639466
56,01060BFD,5,7249,7249.0,0.003143773082814503
57,01060BFD,6,19332,19332.0,0.008383973132427917
58,01060BFD,7,20811,20811.0,0.00902539131279523
59,01060BFD,8,19882,19882.0,0.008622499162990474
60,01060BFD,9,9458,9458.0,0.004101780358292119
61,01060BFD,10,4693,4693.0,0.00203527756623651
62,01060BFD,11,10222,10222.0,0.004433114698928107
63,01060BFD,12,5761,5761.0,0.002498451749219803
64,01060BFD,13,6613,6613.0,0.0028679502547458006
65,01060BFD,14,14387,14387.0,0.006239407275824563
66,01060BFD,15,6552,6552.0,0.002841495549537953
67,01060BFD,16,102007,102007.0,0.044238772362899574
68,01060BFD,17,95607,95607.0,0.041463196734535274
69,01060BFD,18,37539,37539.0,0.016280052111432422
70,01060BFD,19,2350,2350.0,0.001019156676040017
71,01060BFD,20,360,360.0,0.00015612612909549195
72,01060BFD,21,78,78.0,3.382732797068992e-05
73,01060BFD,22,57,57.0,2.4719970440119558e-05
74,01060BFD,23,2,2.0,8.673673838638441e-07
75,01060BFD,24,12,12.0,5.204204303183065e-06
76,01060BFD,25,35,35.0,1.5178929217617273e-05
77,01060BFD,26,1337,1337.0,0.0005798350961129798
78,01060BFD,27,28429,28429.0,0.012329193677932613
79,01060BFD,28,54990,54990.0,0.023848266219336396
80,01060BFD,29,155739,155739.0,0.06754146449778561
