"","X","AVIBASEID","WEEK","OBSERVATION.COUNT","angle","frac_y","smooth_count","dens"
"1",0,"00124D98",1,12303,0.12083048667653,0.0423122293795376,8117.61885143853,0.237686268325822
"2",1,"00124D98",2,7115,0.241660973353061,0.0244697644505738,7896.10133383694,0.231200170235839
"3",2,"00124D98",3,5005,0.362491460029591,0.0172130950210994,7434.77919996005,0.2176925224263
"4",3,"00124D98",4,7304,0.483321946706122,0.0251197694373846,6816.59662317426,0.199591954697105
"5",4,"00124D98",5,5208,0.604152433382652,0.0179112485254516,6141.84980961728,0.17983516947299
"6",5,"00124D98",6,5232,0.724982920059183,0.0179937888412371,5509.96565035655,0.161333415377666
"7",6,"00124D98",7,5385,0.845813406735713,0.0185199833543696,5003.10054490205,0.146492255960739
"8",7,"00124D98",8,5565,0.966643893412244,0.0191390357227608,4674.52349730966,0.136871423333704
"9",8,"00124D98",9,4617,1.08747438008877,0.0158786932492339,4543.5226997726,0.133035681438928
"10",9,"00124D98",10,4705,1.2083048667653,0.0161813410737807,4597.07219349584,0.13460362637041
"11",10,"00124D98",11,5280,1.32913535344184,0.0181588694728081,4797.06572753531,0.140459495888934
"12",11,"00124D98",12,4860,1.44996584011837,0.016714413946562,5090.88475302434,0.14906260340232
"13",12,"00124D98",13,5283,1.5707963267949,0.0181691870122813,5422.62596219282,0.158776083611258
"14",13,"00124D98",14,5560,1.69162681347143,0.0191218398236389,5742.52882867871,0.168142933663388
"15",14,"00124D98",15,5242,1.81245730014796,0.0180281806394811,6012.91425815394,0.176059898590886
"16",15,"00124D98",16,5760,1.93328778682449,0.019809675788518,6210.04258133527,0.181831873892485
"17",16,"00124D98",17,6214,2.05411827350102,0.0213710634287935,6322.42608940862,0.185122496074209
"18",17,"00124D98",18,7685,2.17494876017755,0.0264300969504793,6346.99936590747,0.185842008840014
"19",18,"00124D98",19,6725,2.29577924685408,0.0231284843190596,6284.95038228878,0.184025196343684
"20",19,"00124D98",20,5258,2.41660973353061,0.0180832075166714,6138.86679870977,0.179747826035961
"21",20,"00124D98",21,6327,2.53744022020714,0.0217596907489502,5912.2217133269,0.173111591252716
"22",21,"00124D98",22,6582,2.65827070688367,0.022636681604171,5611.30419063528,0.164300637652727
"23",22,"00124D98",23,4559,2.7791011935602,0.015679220819419,5248.7598880194,0.153685233804801
"24",23,"00124D98",24,4325,2.89993168023673,0.0148744527405104,4847.21796820415,0.141927968251447
"25",24,"00124D98",25,3682,3.02076216691326,0.0126630601134242,4441.24733707089,0.130041028727692
"26",25,"00124D98",26,4005,3.14159265358979,0.0137739151967039,4076.19196286372,0.119352099964769
"27",26,"00124D98",27,4252,3.26242314026632,0.0146233926133296,3803.22049764704,0.1113594151499
"28",27,"00124D98",28,3829,3.38325362694285,0.0131686195476103,3670.99648694977,0.1074878572139
"29",28,"00124D98",29,4495,3.50408411361938,0.0154591133106577,3715.45377425337,0.108789579666318
"30",29,"00124D98",30,3834,3.62491460029592,0.0131858154467323,3949.95318066792,0.115655791280259
"31",30,"00124D98",31,4328,3.74574508697245,0.0148847702799836,4358.36638933074,0.127614250192731
"32",31,"00124D98",32,4764,3.86657557364898,0.0163842526834201,4893.26790676683,0.143276324001318
"33",32,"00124D98",33,5317,3.98740606032551,0.0182861191263108,5480.45783287245,0.160469417799979
"34",33,"00124D98",34,5931,4.10823654700204,0.0203977755384896,6029.6800267369,0.176550805227799
"35",34,"00124D98",35,6074,4.22906703367857,0.0208895782533781,6449.94522553537,0.188856293898521
"36",35,"00124D98",36,7022,4.3498975203551,0.024149920726905,6666.66049881135,0.19520178086174
"37",36,"00124D98",37,6353,4.47072800703163,0.0218491094243845,6637.10799949919,0.19433647498698
"38",37,"00124D98",38,6482,4.59155849370816,0.0222927636217315,6360.89519275789,0.186248882738607
"39",38,"00124D98",39,6148,4.71238898038469,0.0211440775603834,5882.83953518057,0.172251272431803
"40",39,"00124D98",40,5050,4.83321946706122,0.0173678581131972,5287.20141882212,0.154810813136924
"41",40,"00124D98",41,5096,4.95404995373775,0.0175260603851194,4683.94258370132,0.137147216954524
"42",41,"00124D98",42,4404,5.07488044041428,0.0151461479466377,4189.38397075641,0.122666395259078
"43",42,"00124D98",43,3317,5.19571092709081,0.0114077594775198,3904.89103495325,0.114336358395605
"44",43,"00124D98",44,3979,5.31654141376734,0.0136844965212696,3897.73856516864,0.114126931975921
"45",44,"00124D98",45,4344,5.43737190044387,0.014939797157174,4187.96940060467,0.122624976228842
"46",45,"00124D98",46,5118,5.5582023871204,0.0176017223412561,4743.91831444507,0.138903323996686
"47",46,"00124D98",47,5964,5.67903287379693,0.0205112684726946,5487.35772142005,0.160671448566729
"48",47,"00124D98",48,4697,5.79986336047346,0.0161538276351856,6307.29692052033,0.184679509557875
"49",48,"00124D98",49,5791,5.92069384715,0.0199162903630742,7079.74004558305,0.207296871526964
"50",49,"00124D98",50,8623,6.04152433382652,0.0296560476257622,7689.54547727092,0.225152153982979
"51",50,"00124D98",51,8274,6.16235482050306,0.0284557738670482,8050.17293708708,0.235711432109758
"52",51,"00124D98",52,7495,6.28318530717959,0.0257766527838441,8117.61885143853,0.237686268325822
"53",52,"01060BFD",1,26806,0.12083048667653,0.0116253250459271,23846.7255662462,0.0853316603777188
"54",53,"01060BFD",2,15320,0.241660973353061,0.00664403416039705,21194.560109749,0.0758413141509114
"55",54,"01060BFD",3,10713,0.362491460029591,0.00464605339166668,19338.0036989603,0.0691979265429399
"56",55,"01060BFD",4,41901,0.483321946706122,0.0181717803756395,18113.376895848,0.0648157970903098
"57",56,"01060BFD",5,7249,0.604152433382652,0.0031437730828145,17134.143691986,0.0613117690445974
"58",57,"01060BFD",6,19332,0.724982920059183,0.00838397313242792,15992.697359224,0.0572272874860681
"59",58,"01060BFD",7,20811,0.845813406735713,0.00902539131279523,14466.3499285882,0.0517654994427747
"60",59,"01060BFD",8,19882,0.966643893412244,0.00862249916299047,12658.985784204,0.0452981384242139
"61",60,"01060BFD",9,9458,1.08747438008877,0.00410178035829212,11028.6375357231,0.0394642002321422
"62",61,"01060BFD",10,4693,1.2083048667653,0.00203527756623651,10284.3291049013,0.0368008125876321
"63",62,"01060BFD",11,10222,1.32913535344184,0.00443311469892811,11174.1574199534,0.0399849196619378
"64",63,"01060BFD",12,5761,1.44996584011837,0.0024984517492198,14220.4563327402,0.0508856088786944
"65",64,"01060BFD",13,6613,1.5707963267949,0.0028679502547458,19477.7698476376,0.0696980571582773
"66",65,"01060BFD",14,14387,1.69162681347143,0.00623940727582456,26389.4433906646,0.0944303659097168
"67",66,"01060BFD",15,6552,1.81245730014796,0.00284149554953795,33798.0654264002,0.120940924672346
"68",67,"01060BFD",16,102007,1.93328778682449,0.0442387723628996,40128.1804386932,0.143592220041194
"69",68,"01060BFD",17,95607,2.05411827350102,0.0414631967345353,43715.3672587868,0.156428389375776
"70",69,"01060BFD",18,37539,2.17494876017755,0.0162800521114324,43214.883898602,0.154637490411583
"71",70,"01060BFD",19,2350,2.29577924685408,0.00101915667604002,37996.1452888567,0.13596307620701
"72",71,"01060BFD",20,360,2.41660973353061,0.000156126129095492,28423.8117083318,0.101710024741036
"73",72,"01060BFD",21,78,2.53744022020714,3.38273279706899e-05,15944.748176964,0.0570557090727285
"74",73,"01060BFD",22,57,2.65827070688367,2.47199704401196e-05,2939.3638006326,0.0105180391691665
"75",74,"01060BFD",23,2,2.7791011935602,8.67367383863844e-07,0.001,3.57833867549938e-09
"76",75,"01060BFD",24,12,2.89993168023673,5.20420430318307e-06,0.001,3.57833867549938e-09
"77",76,"01060BFD",25,35,3.02076216691326,1.51789292176173e-05,0.001,3.57833867549938e-09
"78",77,"01060BFD",26,1337,3.14159265358979,0.00057983509611298,1279.93829433209,0.00458005270086124
"79",78,"01060BFD",27,28429,3.26242314026632,0.0123291936779326,21757.0601411371,0.0778541297681969
"80",79,"01060BFD",28,54990,3.38325362694285,0.0238482662193364,49398.0614950303,0.176762993942364
"81",80,"01060BFD",29,155739,3.50408411361938,0.0675414644977856,81152.6189428007,0.290391554981088
"82",81,"01060BFD",30,51634,3.62491460029592,0.0223928237492129,113105.29498182,0.404729051437212
"83",82,"01060BFD",31,77657,3.74574508697245,0.0336785744643573,141124.29971722,0.504990539730895
"84",83,"01060BFD",32,132853,3.86657557364898,0.0576161795242316,161563.757560453,0.578129842237574
"85",84,"01060BFD",33,126745,3.98740606032551,0.0549672395339115,171882.73149265,0.615054625750625
"86",85,"01060BFD",34,295358,4.10823654700204,0.128091947881629,171060.725817833,0.612113211052947
"87",86,"01060BFD",35,186426,4.22906703367857,0.0808499159521005,159731.177402372,0.571572249781959
"88",87,"01060BFD",36,189782,4.3498975203551,0.082305358422224,140012.435303627,0.501011912297825
"89",88,"01060BFD",37,43956,4.47072800703163,0.0190630003625596,115077.262685235,0.411785419737179
"90",89,"01060BFD",38,72962,4.59155849370816,0.0316424295307369,88553.6421209591,0.316874922457759
"91",90,"01060BFD",39,35289,4.71238898038469,0.0153042638045856,63880.6217574464,0.228586499449618
"92",91,"01060BFD",40,46305,4.83321946706122,0.0200817233549077,43746.8759593943,0.156541138177775
"93",92,"01060BFD",41,33436,4.95404995373775,0.0145006479234357,29716.4501764026,0.106335522964772
"94",93,"01060BFD",42,33401,5.07488044041428,0.0144854689942181,22101.7294213177,0.0790874731837237
"95",94,"01060BFD",43,15105,5.19571092709081,0.00655079216663168,20088.5046096692,0.0718834729777271
"96",95,"01060BFD",44,44847,5.31654141376734,0.0194494125320709,22064.6989503026,0.0789549656171182
"97",96,"01060BFD",45,22302,5.43737190044387,0.00967201369746573,26064.6215446988,0.09326804333565
"98",97,"01060BFD",46,42658,5.5582023871204,0.0185000789304319,30222.8036019231,0.108147427010784
"99",98,"01060BFD",47,18974,5.67903287379693,0.00822871437071629,33138.5046024227,0.118580792667064
"100",99,"01060BFD",48,33558,5.79986336047346,0.0145535573338514,34080.9721615448,0.121953260784274
"101",100,"01060BFD",49,20252,5.92069384715,0.00878296212900529,33008.6262779349,0.11811604403544
