,aviID_short,month-0,month-1,month-2,month-3,month-4,month-5,month-6,month-7,month-8,month-9,month-10,month-11
0,9C5ED06A,42,66,124,226,99,86,121,143,132,113,106,71
1,F6C6C3F7,30,32,16,6,7,0,0,4,36,50,57,65
2,7E327303,45,59,56,125,90,67,47,57,83,75,71,58
3,EB98812F,37,36,42,36,24,10,40,50,42,50,54,62
4,56CCA717,58,26,18,4,4,0,0,7,17,37,42,91
5,536A5157,244,246,219,166,122,101,105,117,174,242,304,271
6,D3A260BC,42,9,7,2,0,0,0,0,0,11,40,62
7,0E599E6C,47,27,53,38,11,32,1,3,8,16,31,44
8,466E9077,50,17,33,6,1,1,0,0,8,45,43,67
9,624078BA,36,34,46,28,14,28,20,17,9,17,45,33
10,EA4D6C0B,113,95,90,75,54,49,79,51,65,89,116,148
11,52F63879,23,9,17,11,4,18,15,5,4,14,30,23
12,C235A4D7,40,27,41,36,21,47,3,7,21,31,33,55
13,FB738385,112,103,104,43,3,3,4,10,4,13,86,124
14,9A8E55D0,73,47,67,34,23,29,36,40,54,46,62,63
15,36B3872D,69,71,104,146,80,95,89,95,113,88,80,95
16,19CCBBD2,22,20,24,23,26,20,10,20,25,28,19,14
17,49D9148A,130,111,129,85,80,106,69,164,213,180,133,133
18,8601A467,160,127,142,102,50,68,61,58,109,219,218,172
19,68EA281A,90,62,74,17,5,0,1,1,3,3,49,89
20,ED4CE8E7,102,63,58,32,6,6,3,9,30,88,101,159
21,4A5B4883,48,43,45,46,16,24,9,3,4,58,42,28
22,B182DED2,119,74,105,145,123,100,105,112,136,138,147,118
23,F002188E,19,16,7,0,0,0,0,0,2,13,29,27
24,538A9CA7,21,21,19,25,15,7,5,10,9,17,9,11
25,27B2749A,5,19,19,30,27,8,18,10,9,22,11,5
26,F012ED4B,10,4,21,20,2,5,9,35,17,19,16,8
27,B9B272F4,62,40,76,96,68,80,70,44,70,60,78,68
28,AC2B812A,58,73,110,168,129,74,68,43,42,56,60,67
29,8F268682,30,10,8,5,0,0,1,3,1,19,56,38
30,0783A7EA,35,36,28,8,1,1,0,0,1,12,22,44
31,06B9BD24,54,27,19,18,14,0,5,26,13,22,13,20
32,B745D852,59,44,74,109,91,64,59,47,51,72,70,59
33,603194D3,27,18,36,39,28,35,25,25,34,37,43,35
34,AA7901D8,95,68,133,92,60,88,65,86,102,141,83,116
35,575A3E3B,60,86,112,111,95,154,94,124,123,98,90,103
36,E7A14E91,64,53,54,32,3,8,52,55,65,38,63,42
37,32DCEC14,46,19,32,29,3,3,4,5,6,36,23,29
38,36171C2B,29,18,21,5,6,7,6,4,1,12,16,7
39,5F8E7CA8,30,25,13,13,10,6,7,7,14,16,12,4
40,A091D50A,77,61,72,42,18,20,17,16,38,62,104,73
41,FED3756C,34,28,24,32,17,22,20,11,8,26,27,25
42,7E022378,27,15,27,26,17,24,16,20,3,9,28,17
43,115F04DD,61,22,48,22,0,1,0,0,17,25,51,29
44,23863F65,49,26,36,12,3,4,12,12,18,37,71,51
45,249AE8DF,49,36,30,25,10,4,20,47,42,50,75,35
46,F9305BAA,17,16,32,47,36,11,19,31,26,29,21,19
47,D13B9122,14,10,19,25,26,21,12,14,21,13,16,10
48,5284C27B,38,35,28,14,3,10,26,39,47,46,97,27
