,aviID_short,week-0,week-1,week-2,week-3,week-4,week-5,week-6,week-7,week-8,week-9,week-10,week-11,week-12,week-13,week-14,week-15,week-16,week-17,week-18,week-19,week-20,week-21,week-22,week-23,week-24,week-25,week-26,week-27,week-28,week-29,week-30,week-31,week-32,week-33,week-34,week-35,week-36,week-37,week-38,week-39,week-40,week-41,week-42,week-43,week-44,week-45,week-46,week-47,week-48,week-49,week-50,week-51
0,9C5ED06A,11,13,8,8,11,17,12,17,20,23,23,32,38,46,38,44,72,42,29,11,27,24,19,22,16,21,27,22,39,29,19,35,40,36,21,29,34,35,25,30,32,28,24,17,15,40,17,25,23,18,9,16
1,F6C6C3F7,11,8,4,10,3,9,12,5,8,3,3,4,3,2,2,0,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,7,14,12,19,14,12,5,12,15,14,7,12,9,18,13,19
2,7E327303,15,10,9,10,6,20,9,23,6,7,12,10,25,15,18,26,51,36,30,6,18,25,11,14,12,20,25,9,7,4,12,11,20,8,11,20,22,22,15,14,22,18,10,21,18,16,16,12,8,15,9,24
3,EB98812F,7,10,8,12,2,13,10,9,8,15,9,9,4,7,5,13,9,6,4,5,6,6,2,2,3,2,7,9,12,9,12,13,8,11,12,11,8,10,9,11,16,14,9,7,11,10,13,15,8,16,20,16
4,56CCA717,11,21,7,16,13,8,6,4,1,6,8,3,0,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,5,4,2,16,7,9,7,4,7,13,16,4,7,7,60,15
5,536A5157,54,47,37,93,41,79,41,89,45,36,63,45,51,32,28,27,65,42,35,15,23,36,29,24,16,17,29,18,30,20,24,22,24,23,38,35,31,38,53,71,44,59,44,67,80,74,70,52,26,70,78,81
6,D3A260BC,7,12,8,11,8,2,1,2,1,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,6,14,12,7,2,3,50,7
7,0E599E6C,5,20,8,12,5,11,2,9,8,13,24,8,3,13,7,6,11,5,2,2,2,7,13,8,3,2,0,1,0,0,0,1,1,1,0,2,1,1,4,2,3,2,5,8,6,8,6,8,2,6,25,9
8,466E9077,9,9,8,20,7,5,0,9,1,6,8,9,9,3,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,20,4,6,11,6,12,11,14,5,2,3,47,15
9,624078BA,13,5,2,15,9,7,10,12,8,11,10,13,6,7,7,3,11,1,10,1,1,5,11,4,5,4,14,1,2,2,3,2,2,5,7,3,3,0,2,2,4,6,3,10,8,4,11,14,5,10,4,9
